Country,Region,Year,Month,Type_of_Tourism,Tourist_Arrivals,Sales,Profit,Average_Spend_Per_Visitor,Operating_Costs,Marketing_Spend,Number_of_Hotels,Tourism_Sector_Employment,Satisfaction_Score
USA,North America,2020,May,Medical,489785,514017.37,111545.12,1956.65,36456.53,38724.48,4935,60969,2.41
Italy,Western Europe,2021,January,Adventure,90624,909091.74,422619.49,3471.48,85196.25,23129.14,183,50353,6.83
Germany,Western Europe,2021,January,Eco-tourism,217089,919994.93,6028.36,3360.13,65998.06,9479.4,4639,41923,6.55
Australia,Australia,2021,July,Medical,464873,327908.36,320180,602.66,140274.87,4371.68,4871,60869,7.3
USA,Australia,2022,May,Eco-tourism,462514,979695.13,422644.22,4206.83,161067.7,3559.72,1837,41462,6.9
France,Australia,2023,July,Leisure,172475,546460.79,257539.23,4271.64,195046.78,28823.17,3173,88782,3.9
Switzerland,Australia,2021,July,Adventure,463894,21042.78,239057.4,2918.55,33625.82,30372.38,3962,53631,3.06
Spain,North America,2020,April,Eco-tourism,23436,566962.9,325559.75,2540.07,67931.75,11194.77,846,29730,5.68
Germany,Western Europe,2023,September,Medical,495815,151832.83,93416.02,4264.62,161773.14,29165.21,245,22987,9.43
Switzerland,Australia,2022,March,Eco-tourism,340883,609537.68,24549.86,4708.18,44398.85,23896.62,2650,1643,9.29
Netherlands,Australia,2020,October,Adventure,449388,100118.49,225828.86,4250.96,130104.14,20887.59,4262,21913,9.84
USA,Australia,2021,September,Adventure,473166,989035.86,447360.95,1892.46,102531.16,25822.03,2126,68768,8.1
USA,Western Europe,2022,April,Medical,256287,931532.26,406631.84,4306.69,5341.09,35164.67,2760,50763,8.92
Germany,Western Europe,2020,September,Medical,205468,266535.76,315661.13,2875.38,41825.41,48424.98,4964,54769,1.83
Netherlands,Australia,2021,December,Cultural,148111,591789.21,86945.51,3593.49,149496.52,9334.01,3936,61361,3.81
Netherlands,Western Europe,2022,May,Adventure,254019,988390.69,354630.22,2712.57,17976.48,13381.37,984,98164,9.29
Switzerland,Western Europe,2021,June,Cultural,204629,524608.53,18287.02,2549.44,150759.66,40310.06,277,88986,3.92
Netherlands,Western Europe,2020,March,Leisure,206034,429771.04,274451.33,2606.61,57643.65,10499.94,2655,14201,7.3
Canada,North America,2022,June,Leisure,91996,430507.55,279038.22,4382.68,25161.38,41859.89,94,39765,2.77
Italy,North America,2022,June,Medical,136767,132465.75,454602.88,2590.81,10704.43,33332.91,1955,95739,9.29
Canada,Australia,2023,March,Medical,100501,154302.73,120851.09,1915.9,26777.96,49874.65,2136,11518,8.88
Italy,Australia,2022,June,Cultural,247609,160712.45,410069.71,4733.24,5223.35,40164.07,3833,11824,8.96
Canada,Western Europe,2021,May,Medical,450273,260904.69,164325.06,2632.32,157878.33,4525.08,1096,49958,7.58
Italy,North America,2020,June,Leisure,216682,257681.15,199252.58,2210.81,111411.16,22024.1,612,12891,2.83
Italy,North America,2022,April,Eco-tourism,143136,939640.89,106817.39,1072.62,63712.64,10670.77,4934,23436,9.25
Netherlands,Australia,2020,August,Eco-tourism,438614,206047.93,296763.41,2172.16,11621.47,36961.8,2258,22607,1.65
