Country,Region,Year,Month,Type_of_Tourism,Tourist_Arrivals,Sales,Profit,Average_Spend_Per_Visitor,Operating_Costs,Marketing_Spend,Number_of_Hotels,Tourism_Sector_Employment,Satisfaction_Score
India,Southeast Asia,2020,February,Adventure,171112,76536.36,491019.21,2777.41,168393.55,5939.87,2213,60969,2.41
Indonesia,South Asia,2020,November,Adventure,25158,236271.44,478674.03,4816.44,72675.43,13482.31,429,50353,6.83
India,Southeast Asia,2022,July,Leisure,181917,156593.09,328732.52,1147.77,111316.75,43383.81,2459,41923,6.55
Thailand,Southeast Asia,2023,September,Leisure,362106,439480.49,360213.05,3324.18,5862.45,42323.11,1236,60869,7.3
Japan,East Asia,2021,July,Eco-tourism,60111,835088.9,257841.97,4976.29,45589.52,11409.07,4870,41462,6.9
India,East Asia,2023,May,Cultural,66316,348197.38,47563.34,4057.3,168216.45,36151.29,4916,88782,3.9
Philippines,South Asia,2022,July,Cultural,481897,244285.64,332590.21,3324.86,138302.76,17762.38,711,53631,3.06
Singapore,South Asia,2023,March,Adventure,399779,847333.2,454483.86,3844.71,82078.34,10140.56,3690,29730,5.68
Malaysia,Southeast Asia,2022,October,Medical,142806,303360.2,290226.16,2874.49,49828.41,22952.6,2494,22987,9.43
Malaysia,South Asia,2020,February,Leisure,111577,504371.6,59127.44,3257.83,26717.77,16480.29,4838,1643,9.29
South Korea,South Asia,2022,February,Eco-tourism,291417,868636.73,365298.06,3486.99,178753.08,40944.87,2159,21913,9.84
Malaysia,South Asia,2022,June,Medical,345252,675214.48,300810.59,991.01,101894.56,4046.63,1624,68768,8.1
China,East Asia,2023,January,Eco-tourism,386136,643384.16,85200.73,2301.13,97895.8,20197.98,3610,50763,8.92
India,South Asia,2020,August,Leisure,68315,163732.26,276074.97,3135.26,54429.3,26500.25,2723,54769,1.83
India,South Asia,2021,May,Medical,264376,843202.73,471955.81,1252.24,195161.36,16398.79,2928,61361,3.81
Philippines,South Asia,2022,June,Medical,209428,778609.14,234413.07,3906.49,21199.65,31024.98,1392,98164,9.29
Japan,South Asia,2022,January,Medical,13598,560080.92,453418.43,3629.55,80976.35,6342.55,1709,88986,3.92
Japan,South Asia,2023,August,Eco-tourism,363324,208407.05,110923.66,1996.06,24065.71,49230.12,2305,14201,7.3
Malaysia,East Asia,2022,February,Medical,293126,724697.58,112264.1,3127.16,139176.49,38289.98,4295,39765,2.77
Singapore,South Asia,2020,October,Adventure,94314,258114.43,131684.21,3719.29,127342.61,8948.81,786,95739,9.29
Philippines,Southeast Asia,2023,August,Cultural,291622,179439.64,185243.95,2554.4,185833.42,19905.89,4710,11518,8.88
Malaysia,South Asia,2021,November,Medical,421451,990159.03,265884.2,2252.98,123765.34,3397.77,1221,11824,8.96
Thailand,South Asia,2023,February,Eco-tourism,336857,101826.42,120222.79,1128.83,182684.78,17929.06,1341,49958,7.58
Philippines,East Asia,2021,July,Leisure,243170,414114.58,467719.41,2833.97,156318.44,15568.76,1685,12891,2.83
India,South Asia,2021,November,Leisure,434161,424147.11,247928.5,1249.12,68879.93,21406.5,3469,23436,9.25
South Korea,East Asia,2022,April,Eco-tourism,169886,167940.61,427760.3,2542.15,50245.61,7253.99,3479,22607,1.65
Thailand,South Asia,2020,August,Adventure,288617,125831.95,419996.53,2937.16,40952.49,8040.16,3789,58800,8.28
Indonesia,East Asia,2020,December,Leisure,428595,819387.85,449603.98,1880.17,184275.36,14169.43,1440,86699,5.76
Japan,South Asia,2023,March,Medical,494160,170979.95,414055.51,1429.81,175998.33,38922.76,1792,3492,9.22
Vietnam,Southeast Asia,2021,May,Medical,349043,391507.74,155747.74,3274.36,13466.75,36326.8,3533,14516,9.26
China,East Asia,2020,October,Medical,257180,386784.18,237691.86,4482.88,137842.84,3658.89,3042,78976,4.06
Philippines,Southeast Asia,2023,March,Adventure,278248,660237.06,155645.74,1323.83,170289.59,9598.44,1311,79121,3.89
Thailand,Southeast Asia,2020,December,Eco-tourism,425967,503517.01,418758.73,2763.23,37245.33,43843.21,4759,54087,6.07
Philippines,South Asia,2021,June,Adventure,89299,690083.99,34463.2,1724.21,39846.63,20707.42,1321,65835,2.3
Singapore,South Asia,2021,June,Cultural,478429,462724.02,23765.53,4984.67,96052.09,40209.88,930,30054,8.4
South Korea,South Asia,2020,June,Medical,103110,844532.44,484496.07,2818,70210.88,3787.01,873,46755,8.43
Philippines,East Asia,2020,November,Adventure,100804,565645.47,106454.84,2173.72,193454,17401.3,1838,55338,7.71
Philippines,South Asia,2023,December,Leisure,483519,107224.31,347529.24,4072.38,94532.89,18981.24,1267,50503,6.67
Thailand,Southeast Asia,2022,September,Leisure,33011,655959.79,295649.65,3965.31,108242.5,9732.62,3666,24621,8.23
Philippines,East Asia,2022,April,Cultural,471304,722118.82,284523.36,536.77,139097.74,32865.38,825,79377,2.41
Japan,Southeast Asia,2021,December,Cultural,391804,976738.22,243572.39,647.18,112294.88,32654.02,3909,38115,8.32
Malaysia,East Asia,2020,August,Eco-tourism,266576,403242.48,35849.78,1524.4,55852.56,3085.28,2436,35260,9.3
South Korea,East Asia,2022,December,Leisure,133404,289326.07,374867.92,800.08,66154.47,5388.42,433,57202,1.48
Philippines,South Asia,2023,July,Leisure,301854,228875.99,318795.42,4674.55,93275.05,5752,3853,83623,5.7
Philippines,East Asia,2020,March,Adventure,470875,474400.1,362767.61,1309.55,10850.45,8049.88,168,51358,3.91
India,Southeast Asia,2023,July,Cultural,80444,97907.91,277712.94,2518.93,142762.42,17782.95,316,75695,1.49
Indonesia,South Asia,2020,May,Adventure,251101,15377.25,108491.82,2795.64,149123.58,40931.11,2253,33018,8.09
Vietnam,South Asia,2023,January,Eco-tourism,351462,171988.91,309687.29,2027.03,113194.49,29064.14,2881,95600,9.82
India,East Asia,2022,June,Eco-tourism,116290,81589.39,439801.41,4038.66,57733.22,42829.07,2713,83376,5.24
South Korea,East Asia,2023,March,Leisure,416510,90215.82,117193.56,2544.66,177690.22,6722.59,3915,92515,6.4
Japan,East Asia,2023,August,Adventure,454036,198413.93,364641.59,1700.73,166184.57,27018.45,3168,78662,2.8
Philippines,Southeast Asia,2022,June,Adventure,477655,336203.54,367405.01,4297.68,43175.77,4322.9,2379,77225,5.64
Japan,Southeast Asia,2023,May,Medical,171842,466124.27,27438.75,4053.63,188709.51,4318.59,1299,42826,6.94
India,East Asia,2022,February,Adventure,69555,427322.24,106623.35,4200.04,98142.23,47892.11,192,15299,5.91
Malaysia,East Asia,2022,December,Leisure,456075,925105.34,27236.07,844.41,94095.65,16594.03,747,45230,7.41
China,East Asia,2020,August,Eco-tourism,53273,839027.65,358648.53,3364.11,137895.39,12770.47,1756,56542,3.25
Japan,South Asia,2022,November,Cultural,106388,39817.62,153222.11,4253.52,146877.67,48995.67,3752,21641,4.49
Malaysia,East Asia,2021,February,Cultural,175698,881641.67,247285.24,1367.37,109467.62,39921.08,3398,12091,6.83
Japan,Southeast Asia,2021,April,Leisure,260299,224541.34,474682.86,2078.27,53184.5,29726.43,4527,61340,9.83
South Korea,Southeast Asia,2021,June,Eco-tourism,25409,872741.72,131067.95,4732.91,136955.32,40441.02,747,7740,9.48
Philippines,South Asia,2021,February,Adventure,48028,411836.67,26058.49,3659.68,125983.91,33746.71,4862,50743,8.02
Vietnam,Southeast Asia,2022,May,Eco-tourism,336709,345295.43,19227.55,1656.61,170124.35,31201.88,112,8822,1.33
Indonesia,Southeast Asia,2021,July,Adventure,102669,346581.71,91481.31,2800.06,64851.24,45855.93,369,51331,7.23
India,South Asia,2022,January,Adventure,222905,107300.55,156756.17,1307.99,61166.92,6900.55,829,53192,6.45
Indonesia,Southeast Asia,2022,June,Cultural,101905,373970.9,339627.84,4603.26,167944.74,1418.37,1211,8806,3.61
Vietnam,Southeast Asia,2023,October,Leisure,373968,657601.46,498425.9,3134.01,116107.14,47723.75,1821,1562,9.53
Malaysia,South Asia,2020,April,Leisure,31784,393567.23,74448.27,1253.88,104423.05,14829.63,2136,30994,6.77
Philippines,South Asia,2023,May,Eco-tourism,106983,577895.94,279154.55,799.78,150178.26,29240.9,1781,61510,5.92
South Korea,Southeast Asia,2023,March,Medical,499433,78443.26,157362.54,3384.61,92413.39,42654.81,4421,50582,6.56
India,South Asia,2020,April,Eco-tourism,132532,436708.06,176850.18,3765.07,131462.14,45267.98,2822,11121,1.22
Malaysia,Southeast Asia,2021,August,Adventure,466885,668797.66,118456.72,4676.21,101961.2,10311.45,2997,45332,2
Vietnam,Southeast Asia,2020,November,Adventure,27712,438021.71,230732.99,707.7,167517.34,38402.22,250,78239,8.55
Philippines,East Asia,2022,August,Medical,238214,240687.89,150195.33,4577.65,149221.08,29744.03,3900,98904,6.77
India,Southeast Asia,2023,September,Cultural,17006,379264.67,182501.48,1567.78,154157.99,6348.94,2128,70976,4.25
China,South Asia,2021,January,Leisure,215283,24012.11,326564.22,4693.39,43279.71,35704.4,2772,64798,6.84
Vietnam,East Asia,2023,December,Eco-tourism,143600,849307.02,316310.25,4541.57,78181.89,4530.05,2813,48286,4.14
China,Southeast Asia,2021,October,Cultural,201758,538428.25,259961.65,1780.72,11223.32,39264.13,2035,25022,3.75
South Korea,East Asia,2021,December,Eco-tourism,121382,391350.12,19254.73,3948.53,15786.33,31757.03,3093,9637,9.05
Philippines,Southeast Asia,2022,August,Leisure,143026,915647.09,368759.56,920.39,124993.38,11306.74,171,76954,3.28
Philippines,Southeast Asia,2023,August,Adventure,197914,224211.4,266537.63,1605.35,166031.68,8298.89,2247,78079,3.68
Philippines,South Asia,2023,November,Medical,41288,612136.73,405678.62,4193.81,146379.74,13663.67,4371,39931,2.55
South Korea,South Asia,2023,February,Adventure,79487,45971.35,290000.95,3789.63,106475.52,29325.74,2611,6108,2.84
India,Southeast Asia,2023,March,Cultural,166136,560939.79,270854.91,4546.28,193666.91,19745.17,819,62676,2.43
South Korea,South Asia,2022,December,Cultural,186149,536392.92,258621.64,584.59,126668,19377.03,1612,39706,9.79
Japan,East Asia,2020,October,Adventure,389104,51458.97,51472.65,1988.79,144613.43,41864.32,2522,14649,1.15
South Korea,South Asia,2020,April,Medical,248645,758815.96,253862.78,3123.17,70494.64,32899.31,3505,23691,7.09
Malaysia,East Asia,2022,July,Eco-tourism,129216,713442.15,37324.93,4160.24,18200.12,18764.49,2955,23524,7.96
China,East Asia,2020,June,Adventure,348182,851014.31,167830.9,3168.05,11833.45,21080.46,3882,5308,4.63
Vietnam,East Asia,2021,June,Eco-tourism,319156,318819.72,481559.08,3112.49,75929.49,41650.82,3153,78034,9.03
Philippines,Southeast Asia,2021,May,Cultural,95048,631203.52,192267.55,1638.69,174721.7,8306.52,4476,32964,7.24
Vietnam,East Asia,2021,June,Eco-tourism,62359,428037.47,364201.6,1513.05,95132.11,24182.87,2259,20031,6.4
South Korea,East Asia,2021,March,Eco-tourism,15401,433783.55,456832.2,2605.05,42789.92,45667.38,3851,99745,2.23
Japan,South Asia,2023,February,Cultural,307697,822882.71,316862.2,2345.44,55079.16,28935.41,2313,84566,2.93
Vietnam,Southeast Asia,2023,June,Adventure,474839,308401.29,367057.81,2935.6,173925.66,12944.08,4678,74632,3.24
Singapore,East Asia,2021,March,Cultural,132614,458089.25,353318.67,4761.09,145038.77,36758.93,4301,12968,7.63
China,South Asia,2022,June,Cultural,480964,883348.56,411353.23,816.5,81859.12,28347.31,2825,45400,2.9
Thailand,Southeast Asia,2022,September,Medical,18903,305876.42,400031.27,3231.17,46630.33,39547.38,2546,23086,9.24
Japan,Southeast Asia,2023,March,Cultural,23835,550458.91,216661.45,2306.26,33524.43,34281,2924,41260,4.88
China,Southeast Asia,2020,August,Eco-tourism,477334,443543.99,217212.97,1026.87,21080.9,14971.41,3761,15319,3.75
Vietnam,East Asia,2021,March,Eco-tourism,393722,702984.84,333720.7,1592.43,71661.83,39100.39,2511,18381,3.11
India,East Asia,2021,May,Medical,35038,153963.49,214718.87,4979.06,56033.88,16250.62,2595,99083,7.11
South Korea,Southeast Asia,2021,November,Cultural,55524,772117.8,342261.07,986.1,198862.16,33701.3,2121,27167,8.71
Vietnam,Southeast Asia,2023,January,Adventure,229215,534437.65,136821.39,4530.89,9437.42,20387.83,127,93124,5.35
South Korea,Southeast Asia,2022,May,Eco-tourism,110802,932738.17,403580.25,4753.66,144095.02,6403.83,586,61672,7.64
Indonesia,Southeast Asia,2023,November,Adventure,393969,738082.88,486010.32,4053.71,82091.43,10183.4,2242,23650,3.81
India,East Asia,2022,September,Medical,392827,556898.19,391591.01,3055.3,56144.54,26648.12,3462,46809,7.83
Thailand,Southeast Asia,2021,February,Cultural,378522,987803.54,107821.97,4663.25,25907.74,40367.36,1492,18930,5.48
Japan,South Asia,2023,December,Cultural,232701,31057.84,425409.12,2610.87,62973.3,5344.24,490,57235,4.7
South Korea,South Asia,2022,March,Eco-tourism,489011,565720.88,494636.79,1942.82,96840.08,33601.14,3550,40744,6.91
South Korea,Southeast Asia,2023,June,Medical,452685,193014.85,276208.97,2903.86,166022.42,15119.74,4518,66419,4.56
Indonesia,South Asia,2020,June,Eco-tourism,90634,748818.48,467401.05,2466.29,114785.82,14402.45,408,76473,4.76
China,Southeast Asia,2023,April,Eco-tourism,154373,380772.82,406442.29,2782.5,100175.17,35584.81,235,44884,9.23
Philippines,Southeast Asia,2021,July,Adventure,228510,860153.04,283912.91,4337.71,38804.9,28930.23,367,19689,2.91
Indonesia,South Asia,2020,November,Medical,151822,308976.94,341210.77,4530.87,64738.69,32480.92,4631,14676,9.62
Vietnam,South Asia,2022,September,Cultural,339782,260559.39,443826.6,1096.37,166307.46,25108.17,4523,44527,7.09
Vietnam,Southeast Asia,2021,July,Cultural,213397,387488.57,477742.95,4095.8,90359.91,14327.28,442,81140,3.68
Malaysia,South Asia,2022,September,Medical,305495,93074,62324.96,4231.84,157647.11,36778.35,3101,68975,2
Thailand,East Asia,2022,July,Leisure,25226,56044.36,368929.47,2021.64,165209.99,10057.71,4330,55175,2.17
Malaysia,East Asia,2020,September,Cultural,333608,312936.89,388189.46,4872.47,87755.79,45936.53,4195,47707,1.09
Malaysia,South Asia,2022,October,Cultural,221862,251563.24,75685.76,3891.03,91445.19,21332.93,374,82853,3.87
China,South Asia,2023,August,Adventure,395066,806781.41,204728.67,4574.41,158880.92,40922.15,3163,46757,1.99
Philippines,East Asia,2020,September,Adventure,454486,402205.31,82565.49,1022.88,78728.96,5764.59,704,99731,9.17
India,South Asia,2020,August,Eco-tourism,479954,406792.8,350174.07,2334.56,57976.66,45265.53,1406,70267,1.73
Thailand,South Asia,2022,August,Medical,221839,732986.27,157913.1,1558.53,190836.96,23048.52,4340,67952,4.39
Thailand,South Asia,2020,July,Medical,147572,40840.75,124083.15,4358.56,16801.55,44410.57,1435,24423,1
Malaysia,South Asia,2020,February,Medical,298308,740835.79,87868.95,938.87,50597.88,13974.24,4160,92808,5.05
Malaysia,East Asia,2020,May,Leisure,421775,977138.05,155773.36,1204.71,57007.58,19001.6,2727,65825,3.67
China,Southeast Asia,2023,May,Leisure,173505,762783.38,496562.22,2987.08,39201.66,9348.54,317,54647,3.64
Malaysia,Southeast Asia,2023,November,Eco-tourism,258247,319873.92,297529.18,4354.16,110373.16,13241.16,2093,17067,2.66
Malaysia,Southeast Asia,2021,August,Leisure,364891,667553.86,252957.61,3683.61,30649.89,6192.01,2955,99161,9.57
Japan,East Asia,2020,March,Eco-tourism,488731,993280.24,92838.83,2624.36,89730.78,4301.12,3522,94462,2.86
China,Southeast Asia,2022,September,Medical,213684,406215.4,326667.84,3487.98,149950.85,28883.2,4226,51225,3.73
Malaysia,Southeast Asia,2021,December,Medical,49593,43330.66,257948.87,4250.3,101445.89,35025.26,3932,22169,9.35
Thailand,East Asia,2020,June,Cultural,411082,333624.01,94759.44,3120.06,179955.04,30447.29,4782,94434,2.33
Singapore,Southeast Asia,2021,August,Eco-tourism,45591,951001.95,386382.06,3675.17,82983.7,4053.35,2326,20843,6.56
Indonesia,Southeast Asia,2022,November,Adventure,124751,776049.96,73141.61,2625.05,178739.2,1285.94,3729,33402,4.72
Indonesia,South Asia,2023,April,Cultural,34842,593822.9,338804.69,3690.1,80199.63,1011.96,3111,43928,5.2
Thailand,Southeast Asia,2022,November,Adventure,373100,505262.85,7120.32,1711.17,84152.26,17389.28,1085,63528,7.34
India,Southeast Asia,2021,July,Cultural,474286,553735.66,488265.81,1156.92,72574.08,32048.21,1764,77735,4.27
Indonesia,South Asia,2023,February,Adventure,81105,133908.53,388044.32,3574.57,69733.6,45004.33,136,93329,2.31
Thailand,Southeast Asia,2021,March,Eco-tourism,188521,432158.61,104374.14,1174.23,93392.24,41784.43,4836,65758,7.37
India,Southeast Asia,2020,January,Eco-tourism,442451,282495.07,74384.33,3623.63,116999.77,34756.07,2732,13500,8.85
India,Southeast Asia,2020,July,Medical,59298,743253.37,172373.42,4099.74,125844.06,8083.26,4816,16039,4.49
Singapore,Southeast Asia,2023,February,Eco-tourism,461149,990472.54,453996.99,1650.71,48279.95,17313.08,4797,81172,2.02
Thailand,Southeast Asia,2020,October,Cultural,48533,877810.36,252847.96,4531.9,12730.87,48106.56,1594,25743,6.55
Thailand,South Asia,2023,September,Adventure,133719,202901.78,409753.37,2023.19,24175.75,21988.65,344,38741,9.52
Indonesia,Southeast Asia,2021,January,Adventure,123577,673626.01,313192.35,2483.5,126962.95,20999.34,4037,3119,1.74
Japan,East Asia,2022,June,Medical,204502,528020.26,245377.99,2426.02,19980.89,37837.66,4948,27520,6.8
Vietnam,South Asia,2022,June,Cultural,71615,587194.17,47221.59,3461.25,88726.51,40745.27,3012,81671,7.46
Singapore,South Asia,2023,October,Medical,156769,531962.99,289576.56,4072.49,49837.05,13964.99,2861,19181,9.6
China,East Asia,2022,October,Eco-tourism,41087,110628.91,374488.09,1102.28,127214.46,21260.62,2276,59052,7.9
Thailand,Southeast Asia,2021,December,Medical,360072,548709.39,102996.86,907.22,196832.55,44069.86,3421,60196,9.02
Singapore,South Asia,2020,November,Medical,94444,757530.51,146958.06,4125.32,179496,30483.54,3007,10448,7.39
Indonesia,East Asia,2021,August,Leisure,42550,744548.28,424158.51,4939.83,194639.41,3980.36,1502,17455,3.13
China,Southeast Asia,2022,August,Cultural,107486,367229.49,47100.02,4924.9,59505.96,12319.36,1165,60826,2.88
Indonesia,Southeast Asia,2022,February,Medical,349897,958977.17,387103.53,3772.43,119331.57,28415.57,1410,45536,6.87
Philippines,South Asia,2020,December,Leisure,224547,606973.45,80039.57,4092.35,59185.66,5867.25,3101,60351,7.13
Japan,Southeast Asia,2023,August,Leisure,400347,862289.01,258825.58,2495.16,88137.89,7318.74,586,41146,3.01
Thailand,East Asia,2023,November,Adventure,429996,196359.06,106111.35,1077.21,144512.81,28237.88,3747,80106,1.52
Vietnam,Southeast Asia,2022,November,Leisure,350660,742151.08,201371.31,3538.4,163424.65,27621.45,3502,27437,7.13
Philippines,South Asia,2020,November,Medical,418694,790739.7,29714.06,538.34,132111.92,24691.71,1240,83824,9.06
Japan,Southeast Asia,2020,February,Leisure,434582,900047.43,445921.59,3030.48,9211.88,31871.19,943,38750,5.28
Thailand,East Asia,2021,February,Cultural,79465,291677.71,83865.22,4358.44,185213.47,47213.83,2666,9988,4.48
Singapore,East Asia,2021,June,Medical,417539,121934.58,326596.24,2157.68,60465.27,26881.55,2083,11294,2.19
Japan,East Asia,2021,March,Adventure,325080,410664.3,243249.87,3810.15,105874.42,26773.21,1813,23826,6.61
Indonesia,East Asia,2023,October,Eco-tourism,141021,19527.29,167867.55,3613.81,90760.25,21715.21,2670,4661,4.26
Indonesia,Southeast Asia,2020,May,Eco-tourism,61415,928251.55,38957.88,1425.1,150778.79,15841.18,2524,6774,9.86
China,East Asia,2020,November,Cultural,285861,953911.25,217302.65,4638.66,74916.54,28329.15,3784,74447,4.79
India,South Asia,2021,June,Leisure,141095,470342.64,214082.57,2663.16,170492.48,29786.31,1129,64125,1.86
South Korea,Southeast Asia,2021,February,Medical,485964,881416.62,113255.85,3073.92,133736.45,39600.59,4442,31535,4.79
Malaysia,East Asia,2021,April,Cultural,281727,803524.89,258894.28,2970.02,64168.27,18651.05,91,44271,3.89
Singapore,Southeast Asia,2020,October,Adventure,360521,972226.36,455866.09,725.04,132460.82,13561.91,4602,6757,2.66
India,South Asia,2021,March,Leisure,276281,44321.78,347405.7,1169.03,127009.41,36750.41,798,25654,2.89
Vietnam,Southeast Asia,2022,March,Eco-tourism,416562,972489.53,408806.54,4549.83,167324.7,47622.51,3528,61579,7.27
Thailand,South Asia,2020,August,Adventure,347449,811859.61,480768.07,1656.48,193042.16,19009.94,3147,65255,5.92
Singapore,Southeast Asia,2020,February,Cultural,137159,465798.85,481496.46,1810.85,96485.2,2903.24,1326,1744,8.85
South Korea,Southeast Asia,2023,September,Leisure,292701,679309.15,457923.28,3070.42,130833.92,29301.75,4256,59813,3.24
Thailand,East Asia,2022,July,Adventure,255323,585916.35,177941.47,2582.86,170676.17,48035.2,1979,67097,9.64
Singapore,East Asia,2022,February,Leisure,482872,405544.56,140121.21,2991.53,154049.1,44629.18,4908,72880,3.31
Malaysia,East Asia,2021,April,Medical,99127,727926.85,194476.77,1116.94,18945.89,46986.79,4114,53994,7.1
Malaysia,East Asia,2021,October,Medical,84675,266050.76,471986.95,4104.21,168495.86,45151,2933,71384,8.81
Thailand,East Asia,2020,June,Adventure,130297,205390.11,322581.88,1401.3,93765.88,13268.59,2373,43870,8.29
Malaysia,East Asia,2023,December,Cultural,326300,434019.89,294159.13,1351.21,111945.28,42291.73,2730,74785,9.96
Malaysia,East Asia,2021,October,Leisure,127172,799710.69,477288.7,2625.62,121618.54,24351.11,2286,40692,5.43
China,East Asia,2022,December,Medical,466727,122502.93,134075.4,890.55,123449.16,1796.94,4260,87917,3.45
Vietnam,East Asia,2022,September,Eco-tourism,118620,874900.27,69244.39,874.32,119302.89,23086.65,106,88294,5.66
Philippines,South Asia,2023,May,Cultural,429677,937113.15,468062.39,4119.91,147815.76,18924.68,3226,56771,3.73
Japan,Southeast Asia,2021,May,Eco-tourism,418458,393534.26,225991.74,3706.8,29172.71,25459.4,1578,44063,3.71
Japan,South Asia,2023,October,Leisure,448793,725911.43,363934.28,3647,116987.9,33121.09,228,44101,8.35
Indonesia,East Asia,2023,June,Leisure,229777,110198.84,252967.95,1135.68,111555.75,26084.12,3012,68602,4.04
Malaysia,East Asia,2023,May,Leisure,424633,384208.95,52036.76,2730.9,122945.37,1577.01,3934,89771,3.83
Vietnam,Southeast Asia,2023,August,Adventure,117307,177981.94,405630.01,1262.67,139867.78,25456.69,4992,51982,5.22
Thailand,South Asia,2022,July,Adventure,468483,768329.17,381193.52,2792.56,56425.95,14462.91,2006,61323,7.51
Indonesia,South Asia,2022,May,Leisure,149512,598855.79,322958.94,1359.43,26288.92,16435.14,514,60836,8.65
India,East Asia,2020,January,Leisure,377759,389403.19,276405.67,4972.97,23980.02,42873.21,3249,31845,6.12
Indonesia,Southeast Asia,2020,February,Medical,466214,533310.83,39570.72,3558.48,83364.15,43106.79,1184,16943,2.23
China,Southeast Asia,2023,February,Leisure,142114,310952.55,140150.12,3328.95,65645.87,4930.83,588,42497,3.43
India,Southeast Asia,2021,April,Cultural,317228,735999.67,256676.48,1193.13,29965.34,43271.98,3612,47672,6.78
India,East Asia,2021,October,Adventure,369591,519667.7,300377.68,4055.58,76062.33,4302.16,2073,75016,4.51
Indonesia,South Asia,2021,April,Leisure,217003,685184.74,340465.73,2852.66,107475.6,13803.45,3820,47835,7.37
China,South Asia,2023,January,Eco-tourism,190118,691167.03,97330.74,2004.54,138941.72,18944.36,4941,73601,1.3
Malaysia,Southeast Asia,2023,May,Cultural,157529,903863.26,332130.19,2672.87,155787.34,39144.01,2100,37281,8.96
China,East Asia,2021,December,Leisure,320274,43931.63,382121.38,2653.07,68040.22,25188.47,2219,77206,3.29
South Korea,East Asia,2023,September,Medical,134437,750271.02,453769.69,3875.23,10969.6,26895.25,762,57380,3.82
Malaysia,Southeast Asia,2023,October,Eco-tourism,195480,51750.36,484896.11,2580.6,75629.42,22521.21,4166,21120,2.08
China,East Asia,2023,October,Eco-tourism,463687,711242.17,126042.1,2613.12,159596.68,16531.65,579,3801,8.16
South Korea,Southeast Asia,2022,December,Medical,31733,193725.54,443857.23,1199.55,36685.54,29227.23,3851,89285,7.83
Malaysia,Southeast Asia,2022,May,Leisure,301250,548083.93,110143.92,1898.32,59834.36,2706.72,3600,89570,1.55
China,Southeast Asia,2022,February,Adventure,231323,476692.95,323489.56,2691.68,35036.24,6279.2,3456,45577,4.31
Philippines,East Asia,2023,May,Adventure,79660,251025.55,403654.54,3064.42,53885.17,5644.95,2100,1387,4.66
South Korea,South Asia,2020,January,Cultural,349901,986542.07,331474,1263.09,199908.67,41512.01,4574,30662,5.72
China,East Asia,2021,December,Adventure,494807,864973.87,181550.85,4474.22,92421.23,6447.45,99,29197,9.62
Japan,East Asia,2023,November,Eco-tourism,143603,695519.83,399747.42,4179.22,119374.02,29616.7,384,23689,3.59
China,East Asia,2023,February,Medical,206997,988491.17,7824.7,1700.8,91029.14,36819.58,320,50611,3.78
Japan,South Asia,2023,September,Medical,464333,182032.14,53527.44,847.13,12549.13,49166.41,825,49310,3.63
India,East Asia,2021,June,Leisure,435170,916249.46,179607.6,1684.73,89046.65,35802.77,3982,58463,9.69
India,East Asia,2022,June,Eco-tourism,340463,809816.57,25475.03,3598.49,35675.66,17932.86,3861,91302,4.9
South Korea,Southeast Asia,2021,January,Cultural,411074,689509.17,219211.36,4892.14,76993.96,7626.3,1480,9213,7.37
Japan,East Asia,2020,July,Adventure,85211,114633.59,51046.08,1532.27,158895.53,44239.14,3630,64308,3.61
India,East Asia,2022,October,Medical,496376,387103.6,66728.43,884.29,60218.42,40022.47,2780,25912,5.44
Japan,Southeast Asia,2021,April,Medical,448128,358747.37,377358.55,956.08,32785.59,44882.41,3213,6395,9.08
India,Southeast Asia,2022,December,Medical,364881,527014.16,309945.61,4080.71,21249.31,2001.43,3655,54426,2.16
Thailand,East Asia,2023,September,Eco-tourism,150805,596412.49,159002.9,1725.97,156448.65,44841.58,948,51106,1.96
India,South Asia,2022,June,Adventure,277608,893389.33,280748.19,2970.8,187385.88,40861,3674,21425,1.47
India,Southeast Asia,2022,September,Eco-tourism,446386,245783.31,429299.05,2804.91,20951.59,6715.07,4782,27719,2.04
South Korea,Southeast Asia,2022,September,Leisure,297761,559795.85,37216.63,504.66,101006.28,28534.62,4741,19768,8.81
Indonesia,South Asia,2021,April,Adventure,472511,102607.52,82828.08,4576.12,47053.17,41919.37,4055,89125,4.55
